akronim,fraza polska,fraza obca,język,hasło_wikipedia
HB,Antygen HBs,wirusowe zapalenie wątroby typu B,wywołującym,Antygen_HBs
WZW,Wirusowe zapalenie wątroby typu B ,typu B,WZW,Wirusowe_zapalenie_w%C4%85troby_typu_B
WZW,Wirusowe zapalenie wątroby typu C ,C,WZW,Wirusowe_zapalenie_w%C4%85troby_typu_C
WZW,Wirusowe zapalenie wątroby typu E,hepatitis E,ang,Wirusowe_zapalenie_w%C4%85troby_typu_E
brak,Wirusowe choroby roślin ,brak,brak,Wirusowe_choroby_ro%C5%9Blin
brak,Chloroza nerwów liści maliny ,vein chlorosis virus,Raspberry,Chloroza_nerw%C3%B3w_li%C5%9Bci_maliny
RBDV,Krzaczasta karłowatość maliny ,brak,RBDV,Krzaczasta_kar%C5%82owato%C5%9B%C4%87_maliny
brak,Mozaika maliny ,Raspberry mosaic virus,ang,Mozaika_maliny
RNA,Mozaika tytoniowa ,Nicotiana virus,łac,Mozaika_tytoniowa
BBS,Oparzelina borówki wysokiej ,corymbosum,Vaccinium,Oparzelina_bor%C3%B3wki_wysokiej
PPV,Ospowatość śliwy lub szarka śliwy ,pox virus oznaczany jako PPV,Plum,Ospowato%C5%9B%C4%87_%C5%9Bliwy
TBV,Pstrość kwiatów tulipana ,brak,TBV,Pstro%C5%9B%C4%87_tulipana
brak,Smugowatość ziemniaka ,brak,brak,Smugowato%C5%9B%C4%87_ziemniaka
BYMV,Wąskolistość łubinu ,yellow mosaic virus,bean,W%C4%85skolisto%C5%9B%C4%87_%C5%82ubinu
brak,Żółta karłowatość jęczmienia ,brak,brak,%C5%BB%C3%B3%C5%82ta_kar%C5%82owato%C5%9B%C4%87_j%C4%99czmienia
brak,Żółta mozaika jęczmienia ,brak,brak,%C5%BB%C3%B3%C5%82ta_mozaika_j%C4%99czmienia
BYV,Żółtaczka buraka ,brak,BYV,%C5%BB%C3%B3%C5%82taczka_buraka
AHS,Afrykański pomór koni ,Pestis equorum,łac,Afryka%C5%84ski_pom%C3%B3r_koni
ASF,Afrykański pomór świń ,Pestis africana suum,łac,Afryka%C5%84ski_pom%C3%B3r_%C5%9Bwi%C5%84
