akronim,fraza polska,fraza obca,język,hasło_wikipedia
WZW,Antygen HBs,brak,brak,Antygen_HBs
WZW typu B,Wirusowe zapalenie wątroby typu B,brak,brak,Wirusowe_zapalenie_w%C4%85troby_typu_B
WZW C,Wirusowe zapalenie wątroby typu C,brak,brak,Wirusowe_zapalenie_w%C4%85troby_typu_C
", WZW typu E",Wirusowe zapalenie wątroby typu E,hepatitis E,ang.,Wirusowe_zapalenie_w%C4%85troby_typu_E
AHS,Afrykański pomór koni,Pestis equorum,łac.,Afryka%C5%84ski_pom%C3%B3r_koni
ASF,Afrykański pomór świń,Pestis africana suum,łac.,Afryka%C5%84ski_pom%C3%B3r_%C5%9Bwi%C5%84
", MERS ",Bliskowschodni zespół oddechowy,Middle East respiratory syndrome,ang.,Bliskowschodni_zesp%C3%B3%C5%82_oddechowy
HFMD,Choroba dłoni,hand,ang.,"Choroba_d%C5%82oni,_st%C3%B3p_i_jamy_ustnej"
MSD,Choroba marmurkowatej śledziony bażantów,brak,brak,Choroba_marmurkowatej_%C5%9Bledziony_ba%C5%BCant%C3%B3w
CMV,Cytomegalowirus,brak,brak,Cytomegalowirus
AIDS,Encefalopatia AIDS,brak,brak,Encefalopatia_AIDS
RVF,Gorączka doliny Rift,brak,brak,Gor%C4%85czka_doliny_Rift
JE,Japońskie zapalenie mózgu,Japanese encephalitis,ang.,Japo%C5%84skie_zapalenie_m%C3%B3zgu
", LCM ",Limfocytarne zapalenie splotu naczyniówkowego i opon mózgowych,choriomeningitis lymphocytica,łac.,Limfocytarne_zapalenie_splotu_naczyni%C3%B3wkowego_i_opon_m%C3%B3zgowych
HSE,Opryszczkowe zapalenie mózgu,Herpes simplex encephalitis,ang.,Opryszczkowe_zapalenie_m%C3%B3zgu
PML,Postępująca leukoencefalopatia wieloogniskowa,progressive multifocal leukoencephalopathy,ang.,Post%C4%99puj%C4%85ca_leukoencefalopatia_wieloogniskowa
II,Zespół Ramsaya Hunta,Ramsay Hunt syndrome type II,ang.,Zesp%C3%B3%C5%82_Ramsaya_Hunta
TSP,Tropikalna spastyczna parapareza,tropical spastic paraparesis,ang.,Tropikalna_spastyczna_parapareza
CBPV,Wirus chronicznego paraliżu pszczół,Chronic bee paralysis virus – CBPV,ang.,Wirus_chronicznego_parali%C5%BCu_pszcz%C3%B3%C5%82
ABPV,Wirus ostrego paraliżu pszczół,Acute bee paralysis virus – ABPV lub APV,ang.,Wirus_ostrego_parali%C5%BCu_pszcz%C3%B3%C5%82
DWV,Wirus zdeformowanych skrzydeł,Deformed wing virus – DWV,ang.,Wirus_zdeformowanych_skrzyde%C5%82
SBV,Wirus ze Schmallenbergu,brak,brak,Wirus_ze_Schmallenbergu
EVA,Wirusowe zapalenie tętnic koni,brak,brak,Wirusowe_zapalenie_t%C4%99tnic_koni
MVE,Zapalenia mózgu doliny Murray,brak,brak,Zapalenia_m%C3%B3zgu_doliny_Murray
", ZGC ",Zespół Gianottiego-Crostiego,Gianotti–Crosti syndrome,ang.,Zesp%C3%B3%C5%82_Gianottiego-Crostiego
", AIDS ",Zespół nabytego niedoboru odporności,syndroma immunitatis defectus acquisiti,łac.,Zesp%C3%B3%C5%82_nabytego_niedoboru_odporno%C5%9Bci
CRS,Zespół różyczki wrodzonej,congenital rubella syndrome,ang.,Zesp%C3%B3%C5%82_r%C3%B3%C5%BCyczki_wrodzonej
AHF,Argentyńska gorączka krwotoczna,Argentine Hemorrhagic Fever,ang.,Argenty%C5%84ska_gor%C4%85czka_krwotoczna
BHF,Boliwijska gorączka krwotoczna,Bolivian Hemorrhagic Fever,ang.,Boliwijska_gor%C4%85czka_krwotoczna
