akronim,fraza polska,fraza obca,język,kategorie,hasło_wikipedia
AHS,Afrykański pomór koni,Pestis equorum,łac.,"['Choroby koni', 'Choroby przenoszone przez owady', 'Choroby zakaźne zwierząt', 'Choroby wirusowe']",Afryka%C5%84ski_pom%C3%B3r_koni
ASF,Afrykański pomór świń,Pestis africana suum,łac.,"['Choroby zakaźne zwierząt', 'Choroby trzody chlewnej', 'Choroby wirusowe', 'Choroby przenoszone przez owady']",Afryka%C5%84ski_pom%C3%B3r_%C5%9Bwi%C5%84
MERS ,Bliskowschodni zespół oddechowy,Middle East respiratory syndrome,ang.,"['Choroby wirusowe', 'Choroby układu oddechowego']",Bliskowschodni_zesp%C3%B3%C5%82_oddechowy
HFMD,Choroba dłoni,hand,ang.,['Choroby wirusowe'],"Choroba_d%C5%82oni,_st%C3%B3p_i_jamy_ustnej"
MSD,Choroba marmurkowatej śledziony bażantów,brak,brak,"['Choroby ptaków', 'Choroby wirusowe']",Choroba_marmurkowatej_%C5%9Bledziony_ba%C5%BCant%C3%B3w
CMV,Cytomegalowirus,brak,brak,"['Choroby wirusowe', 'Herpeswirusy']",Cytomegalowirus
AIDS,Encefalopatia AIDS,brak,brak,"['HIV/AIDS', 'Choroby układu nerwowego', 'Choroby wirusowe']",Encefalopatia_AIDS
RVF,Gorączka doliny Rift,brak,brak,"['Choroby wirusowe', 'Choroby odzwierzęce', 'Choroby zakaźne zwierząt', 'Choroby owiec', 'Choroby bydła']",Gor%C4%85czka_doliny_Rift
JE,Japońskie zapalenie mózgu,Japanese encephalitis,ang.,"['Choroby wirusowe', 'Choroby układu nerwowego']",Japo%C5%84skie_zapalenie_m%C3%B3zgu
LCM ,Limfocytarne zapalenie splotu naczyniówkowego i opon mózgowych,choriomeningitis lymphocytica,łac.,['Choroby wirusowe'],Limfocytarne_zapalenie_splotu_naczyni%C3%B3wkowego_i_opon_m%C3%B3zgowych
HSE,Opryszczkowe zapalenie mózgu,Herpes simplex encephalitis,ang.,"['Choroby układu nerwowego', 'Zapalenia', 'Choroby wirusowe']",Opryszczkowe_zapalenie_m%C3%B3zgu
